County,Route,Special Case,County Sequence,Beginning Log Mile,Ending Log Mile,Log Mile Length,Year of Traffic,Annual Average Daily Traffic,Vehicle Miles Traveled,Design Hourly Volume Percent,Directional Distribution,Vehicle - Passenger Pickups,Vehicle - Single Unit Trucks,Vehicle - Multiple Unit Trucks,ID Number,Station Number,TN-TIMES ID,% Peak Single Unit,% Peak Multi Unit,OBJECTID,Shape__Length
Bedford,02008,0,1,0,1.02,1.02,2023,3790,3865.8,11,65,97,2,1,0202008001,94,02000094,1.833,1.113,1032,5439.51808601339
Blount,05598,0,1,0,1.25,1.25,2023,4590,5737.5,10,65,97,2,1,0505598001,225,05000225,1.756,0.783,1033,6589.05297991812
Lincoln,05300,0,1,0,1,1,2023,3913,3913,8,65,97,2,1,5205300001,151,52000151,1.833,1.113,1034,5234.02394635712
Blount,05600,0,1,0,2.65,2.65,2023,5591,14816.15,10,65,97,2,1,0505600001,227,05000227,2.55,2.486,1035,14017.4862117736
Blount,05607,0,1,0,1.5,1.5,2023,478,717,10,65,97,3,0,0505607001,231,05000231,1.756,0.783,1036,7899.57584381227
Blount,05608,0,1,0,1.1,1.1,2023,4326,4758.6,11,65,97,2,1,0505608001,232,05000232,2.55,2.486,1037,5827.99229420457
Blount,05609,0,1,0,2.1,2.1,2023,870,1827,13,65,98,2,0,0505609001,55,05000055,1.756,0.783,1038,11143.1082834875
Blount,05610,0,1,0,1.82,1.82,2023,1654,3010.28,10,65,97,2,1,0505610001,234,05000234,1.756,0.783,1039,9548.40213997484
Blount,05677,0,1,0,1.17,1.17,2023,908,1062.36,11,65,97,2,1,0505677001,235,05000235,1.756,0.783,1040,6229.56374237009
Blount,05606,0,1,0,1.64,1.64,2023,3388,5556.32,10,65,97,2,1,0505606001,237,05000237,1.756,0.783,1041,8652.96136948717
Washington,I0081,0,1,0.75,3.94,3.19,2023,36627,116840.13,9,52,70,4,26,90I0081001,117,90000117,3.898,19.756,1042,16859.1809746552
Sullivan,SR347,0,1,0,1.126,1.126,2023,395,444.77,10,65,96,3,1,82SR347001,51 @,37000051,3.016,0.864,1043,5974.17047497122
Sullivan,SR347,0,1,1.126,3.76,2.634,2023,1069,2815.746,10,65,96,3,1,82SR347001,25,82000025,3.016,0.864,1044,13948.1249872233
Sullivan,SR347,0,1,6.48,8.62,2.14,2023,1519,3250.66,10,64,95,3,2,82SR347001,29,82000029,0,0,1045,11334.2096924498
Sullivan,SR347,0,1,8.62,10.62,2,2023,8975,17950,10,65,95,3,2,82SR347001,127,82000127,2.766,1.773,1046,10555.4221630733
Hardin,05561,0,1,0,2.71,2.71,2023,162,439.02,11,65,97,2,1,3605561001,139,36000139,2.624,1.065,1047,14309.472604101
Shelby,05134,0,1,0,1.26,1.26,2023,7170,9034.2,10,65,95,3,2,7905134001,679,79000679,3.695,2.213,1048,6756.41428466978
Shelby,00813,0,1,2.22,4.43,2.21,2023,1795,3966.95,10,65,96,3,1,7900813001,426,79000426,2.624,1.065,1049,11705.2452548847
Shelby,02815,0,1,4.39,6.53,2.14,2023,10996,23531.44,11,63,95,3,2,7902815001,361,79000361,3.695,2.213,1050,11329.2565981506
Shelby,01462,0,1,0,5.42,5.42,2023,793,4298.06,12,65,96,3,1,7901462001,18,79000018,2.624,1.065,1051,28631.2585757473
Shelby,02815,0,1,0,4.39,4.39,2023,7810,34285.9,9,54,95,3,2,7902815001,333,79000333,3.695,2.213,1052,23252.2001989073
Shelby,02821,0,1,2.99,5.31,2.32,2023,14283,33136.56,9,55,95,3,2,7902821001,301,79000301,2.281,0.809,1053,12338.0265465717
Shelby,02821,0,1,5.31,6.45,1.14,2023,19982,22779.48,8,63,95,3,2,7902821001,315,79000315,3.695,2.213,1054,5980.29351805886
Shelby,02821,0,1,6.45,8.2,1.75,2023,8747,15307.25,9,60,95,3,2,7902821001,411,79000411,1.619,0.101,1055,9237.23489905177
Obion,05743,0,1,0,3.78,3.78,2023,342,1292.76,11,65,95,2,3,6605743001,178,66000178,2.849,3.585,1056,20110.8873733235
Obion,SR043,0,1,0,4.22,4.22,2023,7142,30139.24,8,53,88,4,8,66SR043001,102,66000102,3.961,6.188,1057,22180.0924601126
Obion,SR043,0,1,4.22,5.46,1.24,2023,7415,9194.6,9,65,88,4,8,66SR043001,121,66000121,3.961,6.188,1058,6575.02513202742
Obion,SR043,0,1,5.46,6.6,1.14,2023,3514,4005.96,10,57,98,1,1,66SR043001,3,66000003,1.159,1.449,1059,5961.29711725113
Fayette,00840,0,1,0,1.23,1.23,2023,1457,1792.11,9,65,96,3,1,2400840001,26,24000026,2.624,1.065,1060,6474.33219813588
Overton,SR294,0,1,0.58,5.91,5.33,2023,1477,7872.41,9,63,98,1,1,67SR294001,51,67000051,1.46,0.73,1061,28184.3327005036
Overton,SR294,0,1,5.91,8.89,2.98,2023,1367,4073.66,10,65,97,2,1,67SR294001,1,67000001,3.857,2.871,1062,15787.0951982584
Jackson,SR085,0,1,0,1.45,1.45,2023,773,1120.85,9,65,94,3,3,44SR085001,65,44000065,2.555,2.57,1063,7796.55459341731
Fayette,00840,0,1,1.23,6.723,5.493,2023,608,3339.744,10,65,97,2,1,2400840001,101,24000101,2.624,1.065,1064,29078.0532309237
Fayette,00840,0,1,6.723,10.59,3.867,2023,122,471.774,12,65,97,2,1,2400840001,95,24000095,2.624,1.065,1065,20469.3271850585
Fayette,00840,0,1,10.59,13.02,2.43,2023,587,1426.41,9,65,96,3,1,2400840001,17 @,35000017,2.624,1.065,1066,12933.4022198759
Fayette,01544,0,1,0,4.41,4.41,2023,899,3964.59,10,65,96,3,1,2401544001,24,24000024,2.624,1.065,1067,23279.5354026914
Fayette,01544,0,1,4.41,8.22,3.81,2023,883,3364.23,10,65,97,2,1,2401544001,23,24000023,2.624,1.065,1068,20144.6721208283
Tipton,SR059,0,1,21.06,25.42,4.36,2023,5449,23757.64,9,65,90,3,7,84SR059001,107,84000107,3.133,5.343,1069,23049.2373249005
Jackson,SR085,0,1,3.51,6.645,3.135,2023,1314,4119.39,9,51,94,3,3,44SR085001,95,44000095,4.167,0.833,1070,16564.264326367
Jackson,SR085,0,1,6.645,11.29,4.645,2023,190,882.55,11,65,96,2,2,44SR085001,16,44000016,3.857,2.871,1071,24565.8978297866
Jackson,SR085,0,1,11.29,15.32,4.03,2023,129,519.87,13,65,96,2,2,44SR085001,9,44000009,3.857,2.871,1072,21363.161322277
Tipton,SR059,0,1,25.42,28.689,3.269,2023,3854,12598.726,10,65,90,3,7,84SR059001,64,84000064,3.133,5.343,1073,17249.0733513418
Jackson,SR085,0,1,15.32,23.3,7.98,2023,1291,10302.18,8,61,94,3,3,44SR085001,28,44000028,1.481,0.741,1074,42223.366826818
Jackson,SR085,0,1,23.3,24.93,1.63,2023,917,1494.71,10,65,94,3,3,44SR085001,32,44000032,2.555,2.57,1075,8592.51147045142
Marion,SR002,0,1,0,0.01,0.01,2023,797,7.97,11,65,95,3,2,58SR002001,32 @,31000032,3.857,2.871,1076,62.7013262927683
Marion,SR002,0,1,0.01,1.44,1.43,2023,7806,11162.58,9,57,94,3,3,58SR002001,86,58000086,0.297,0.149,1077,7576.91538211761
Knox,01095,0,1,0,1.445,1.445,2023,1802,2603.89,12,65,97,2,1,4701095001,4,47000004,2.624,1.065,1078,7630.11106013094
Knox,01095,0,1,1.445,5.27,3.825,2023,880,3366,15,65,96,3,1,4701095001,198,47000198,2.624,1.065,1079,20176.3254048237
Hamilton,03552,0,1,1.296,2.48,1.184,2023,13686,16204.224,9,65,98,1,1,3303552001,410,33000410,2.992,3.767,1080,6238.75992941817
Warren,05351,0,1,0,0.77,0.77,2023,509,391.93,14,65,97,2,1,8905351001,144,89000144,3.108,2.331,1081,4046.69919897627
Marion,SR002,0,1,1.44,7.727,6.287,2023,607,3816.209,11,65,97,2,1,58SR002001,73,58000073,4.839,3.226,1082,33203.6322656635
Warren,05370,0,1,0,1.21,1.21,2023,619,748.99,13,61,98,1,1,8905370001,146,89000146,0,3.614,1083,6397.95134348707
Knox,I0040,0,1,0.19,3.99,3.8,2023,112023,425687.4,8,51,80,4,16,47I0040001,37 A,37,3.865,12.681,1084,20001.0869675936
Warren,05371,0,1,0,1.35,1.35,2023,195,263.25,12,65,97,2,1,8905371001,145,89000145,3.108,2.331,1085,7104.91346449685
Knox,I0040,0,1,3.99,5.755,1.765,2023,132443,233761.895,9,60,80,4,16,47I0040001,165,47000165,3.865,12.681,1086,9287.2158587187
Knox,I0040,0,1,5.755,7.39,1.635,2023,147689,241471.515,9,60,80,4,16,47I0040001,254,47000254,3.865,12.681,1087,8605.68794581216
Knox,I0040,0,1,7.39,8.89,1.5,2023,170970,256455,9,60,80,4,16,47I0040001,164,47000164,3.865,12.681,1088,7895.12650078609
Knox,I0040,0,1,8.89,10.36,1.47,2023,191951,282167.97,9,60,80,4,16,47I0040001,253,47000253,3.865,12.681,1089,7737.22412516364
Knox,I0040,0,1,10.36,11.88,1.52,2023,194969,296352.88,9,60,80,4,16,47I0040001,252,47000252,3.865,12.681,1090,8000.3948385052
Knox,I0040,0,1,11.88,14.18,2.3,2023,201281,462946.3,9,60,80,4,16,47I0040001,124,47000124,3.865,12.681,1091,12105.8608012761
Knox,I0040,0,1,14.18,16.3,2.12,2023,204861,434305.32,9,60,80,4,16,47I0040001,170,47000170,3.865,12.681,1092,11158.4453365186
Knox,I0040,0,1,16.3,17.68,1.38,2023,160549,221557.62,9,70,82,5,13,47I0040001,169,47000169,3.726,8.93,1093,7302.65882063451
Blount,04462,0,1,0,1.03,1.03,2023,7473,7697.19,10,57,95,3,2,0504462001,204,05000204,2.742,3.133,1094,5454.47051100285
Blount,04817,0,1,0,0.07,0.07,2023,11234,786.38,10,65,98,1,1,0504817001,181,05000181,2.55,2.486,1095,387.321015981042
Blount,05551,0,1,0,2.37,2.37,2023,1464,3469.68,11,65,98,2,0,0505551001,35,05000035,1.756,0.783,1096,12480.8229994843
Blount,05551,0,1,2.37,6.01,3.64,2023,1640,5969.6,13,65,97,2,1,0505551001,36,05000036,1.756,0.783,1097,19220.9677776218
Putnam,03520,0,1,1,2.73,1.73,2023,2262,3913.26,12,65,97,2,1,7103520001,159,71000159,3.108,2.331,1098,9150.39283497943
Dickson,SR049,0,1,0,4.26,4.26,2023,1178,5018.28,10,65,94,3,3,22SR049001,20,22000020,2.32,2.23,1099,22497.8190328569
Dickson,SR049,0,1,4.26,7.85,3.59,2023,2392,8587.28,11,62,95,3,2,22SR049001,16,22000016,3.984,1.195,1100,18967.3861078986
Hamilton,04979,0,1,0,1.26,1.26,2023,2405,3030.3,9,65,98,1,1,3304979001,235,33000235,3.108,2.331,1101,6583.86983459344
Putnam,03530,0,1,0,2.33,2.33,2023,4162,9697.46,10,65,98,1,1,7103530001,77,71000077,3.108,2.331,1102,12357.7464591266
Haywood,00857,0,1,0,1.585,1.585,2023,170,269.45,12,65,97,2,1,3800857001,16 @,35000016,2.624,1.065,1103,8449.69382743989
Haywood,00857,0,1,1.585,4.82,3.235,2023,351,1135.485,13,65,96,3,1,3800857001,126,38000126,2.624,1.065,1104,17190.1610411605
Haywood,01377,0,1,1.295,6.51,5.215,2023,667,3478.405,10,65,96,3,1,3801377001,97,38000097,2.624,1.065,1105,27576.9726484106
Haywood,01440,0,1,1.174,2.59,1.416,2023,241,341.256,11,65,97,2,1,3801440001,4,38000004,2.624,1.065,1106,7518.31581365197
Putnam,04405,0,1,0,1.45,1.45,2023,13033,18897.85,10,50,90,3,7,7104405001,141,71000141,2.405,3.569,1107,7663.97186860449
Shelby,02842,0,1,1.19,2.18,0.99,2023,8443,8358.57,8,58,95,3,2,7902842001,373,79000373,3.695,2.213,1108,5293.23446174938
Shelby,02842,0,1,2.18,3.49,1.31,2023,10363,13575.53,8,60,95,3,2,7902842001,355,79000355,3.695,2.213,1109,6853.25148229217
Dyer,02721,0,1,0,3.91,3.91,2023,745,2912.95,21,67,98,1,1,2302721001,184,23000184,1.961,0,1110,20676.3452827646
Shelby,02842,0,1,3.49,6.43,2.94,2023,7195,21153.3,9,58,95,3,2,7902842001,322,79000322,3.695,2.213,1111,15483.0863606254
Coffee,03411,0,1,0,0.11,0.11,2023,3914,430.54,9,65,98,1,1,1603411001,106,16000106,3.108,2.331,1112,577.30120697556
Hamilton,02199,0,1,0,2.81,2.81,2023,2449,6881.69,12,65,98,1,1,3302199001,498,33000498,2.992,3.767,1113,14769.7728485395
Davidson,04882,0,1,0,1.41,1.41,2023,4998,7047.18,10,65,97,2,1,1904882001,591,19000591,1.833,1.113,1114,7457.27394001415
Bedford,02008,0,1,1.02,2.28,1.26,2023,1852,2333.52,12,65,97,2,1,0202008001,104,02000104,1.833,1.113,1115,6652.52789051731
Franklin,01092,0,1,3.22,5.4,2.18,2023,221,481.78,14,65,97,2,1,2601092001,80,26000080,2.624,1.065,1116,11554.5837832843
Warren,02171,0,1,0,6.04,6.04,2023,635,3835.4,10,65,97,2,1,8902171001,65,89000065,2.624,1.065,1117,31857.5447808045
Warren,02175,0,1,0,6.84,6.84,2023,156,1067.04,8,62,94,4,2,8902175001,30,89000030,15.385,0,1118,36182.2449576298
Hardin,SR057,0,1,0,1.73,1.73,2023,2340,4048.2,9,65,90,3,7,36SR057001,81 @,55000081,3.133,5.343,1119,9065.08645021846
Hardin,SR057,0,1,2.71,8.08,5.37,2023,7089,38067.93,9,65,90,3,7,36SR057001,56,36000056,3.133,5.343,1120,28355.0506387994
Hardin,SR057,0,1,8.08,10.99,2.91,2023,5676,16517.16,9,55,90,3,7,36SR057001,66,36000066,0.965,11.197,1121,15411.9952706822
Hardin,SR104,0,1,0,3.01,3.01,2023,430,1294.3,9,53,88,11,1,36SR104001,4,36000004,2.703,0,1122,15771.0314542054
Sevier,01288,0,1,0,3.26,3.26,2023,6659,21708.34,10,65,96,2,2,7801288001,77,78000077,1.764,1.085,1123,17170.2204917185
Carroll,01707,0,1,2.575,5.6,3.025,2023,832,2516.8,12,100,96,3,1,0901707001,43,09000043,2.624,1.065,1124,15982.3409083913
Carroll,01710,0,1,3.28,6.31,3.03,2023,560,1696.8,10,65,96,3,1,0901710001,106,09000106,2.624,1.065,1125,16032.6284928971
Carroll,01711,0,1,0,7.17,7.17,2023,143,1025.31,9,65,97,2,1,0901711001,161,09000161,2.624,1.065,1126,37830.4319641883
Carroll,01712,0,1,0,2.51,2.51,2023,658,1651.58,9,65,96,3,1,0901712001,75,09000075,2.624,1.065,1127,13269.0138658178
Carroll,01716,0,1,0,7.02,7.02,2023,598,4197.96,10,65,96,3,1,0901716001,61,09000061,2.624,1.065,1128,37069.9903780211
Bedford,02008,0,1,2.28,7.5,5.22,2023,487,2542.14,10,65,97,2,1,0202008001,29,02000029,2.624,1.065,1129,27582.6978969065
Warren,02185,0,1,0.7,3.53,2.83,2023,283,800.89,11,65,96,3,1,8902185001,152,89000152,2.624,1.065,1130,14940.6066849241
Warren,02185,0,1,3.53,6.84,3.31,2023,492,1628.52,11,62,91,9,0,8902185001,127,89000127,5.769,0,1131,17562.4904414134
Warren,02187,0,1,0,6.54,6.54,2023,821,5369.34,11,63,96,3,1,8902187001,15,89000015,2,2,1132,34537.2944090911
Wayne,00912,0,1,1.428,4.535,3.107,2023,944,2933.008,11,65,97,2,1,9100912001,42,91000042,2.624,1.065,1133,16301.1839780175
Wayne,00912,0,1,4.535,8.97,4.435,2023,329,1459.115,11,65,97,2,1,9100912001,41,91000041,2.624,1.065,1134,23321.764507763
Wayne,00915,0,1,0,6.4,6.4,2023,160,1024,12,65,96,3,1,9100915001,52,91000052,2.624,1.065,1135,33834.1776431346
Wayne,00915,0,1,6.4,10.186,3.786,2023,377,1427.322,8,65,96,3,1,9100915001,58,91000058,2.624,1.065,1136,20025.4794176121
Wayne,01776,0,1,0,4.054,4.054,2023,85,344.59,13,65,97,2,1,9101776001,83,91000083,2.624,1.065,1137,21408.5832911187
Wayne,01776,0,1,4.054,10.35,6.296,2023,125,787,11,65,96,2,2,9101776001,54,91000054,2.624,1.065,1138,33224.9191493338
Wayne,01784,0,1,10.615,13.7,3.085,2023,236,728.06,11,65,97,2,1,9101784001,15,91000015,2.624,1.065,1139,16331.7256554672
Wayne,SR114,0,1,3.62,7.893,4.273,2023,2039,8712.647,10,65,95,3,2,91SR114001,96,91000096,2.476,1.484,1140,22556.1758484319
Wayne,SR203,0,1,0,10.232,10.232,2023,451,4614.632,11,65,95,3,2,91SR203001,78,91000078,2.476,1.484,1141,54064.2403637627
Wayne,SR228,0,1,0,5.026,5.026,2023,211,1060.486,10,65,97,2,1,91SR228001,9,91000009,2.476,1.484,1142,26514.229376703
Cocke,02511,0,1,0,3.98,3.98,2023,441,1755.18,10,65,97,2,1,1502511001,6,15000006,2.624,1.065,1143,21026.9133113891
Cocke,02513,0,1,0,4.78,4.78,2023,124,592.72,13,65,97,2,1,1502513001,99,15000099,2.624,1.065,1144,25206.624083947
Cocke,04583,0,1,0,0.75,0.75,2023,2204,1653,9,54,97,2,1,1504583001,124,15000124,0.467,0.467,1145,3873.21831859418
Cocke,04584,0,1,0,1.02,1.02,2023,770,785.4,8,65,97,2,1,1504584001,125,15000125,2.55,2.486,1146,5327.56000937665
Davidson,04949,0,1,0,2.11,2.11,2023,1803,3804.33,12,65,97,2,1,1904949001,551,19000551,1.833,1.113,1147,11127.1210706333
Davidson,04950,0,1,0,1.65,1.65,2023,5856,9662.4,10,65,97,2,1,1904950001,560,19000560,1.833,1.113,1148,8729.54988063539
Davidson,04951,0,1,0,1.66,1.66,2023,4097,6801.02,11,65,97,2,1,1904951001,549,19000549,1.833,1.113,1149,8730.429631598
Marshall,01999,0,1,0,7.52,7.52,2023,1036,7790.72,10,65,97,2,1,5901999001,8,59000008,2.624,1.065,1150,39665.8171340145
Marshall,02002,0,1,0,6.55,6.55,2023,842,5515.1,11,65,97,2,1,5902002001,1,59000001,2.624,1.065,1151,34593.6383193991
Marshall,04266,0,1,0.256,1.18,0.924,2023,449,414.876,15,65,98,2,0,5904266001,107,59000107,1.833,1.113,1152,4890.38145942111
Putnam,SR024,0,1,0,1.21,1.21,2023,777,940.17,9,65,94,3,3,71SR024001,43 @,80000043,2.32,2.23,1153,6362.56854434804
Putnam,SR024,0,1,1.21,6,4.79,2023,1189,5695.31,10,51,94,3,3,71SR024001,189,71000189,2.041,1.02,1154,25442.2730954112
Greene,SR350,0,1,0,2.23,2.23,2023,3310,7381.3,9,65,96,3,1,30SR350001,148,30000148,3.016,0.864,1155,11745.8439235045
Carroll,01718,0,1,0,2.91,2.91,2023,156,453.96,10,65,96,3,1,0901718001,162,09000162,2.624,1.065,1156,15403.9372181332
Putnam,SR024,0,1,6,11.64,5.64,2023,2640,14889.6,9,65,94,3,3,71SR024001,14,71000014,2.555,2.57,1157,29858.4061558091
Putnam,SR024,0,1,11.64,13.37,1.73,2023,5832,10089.36,13,65,90,3,7,71SR024001,17,71000017,3.176,7.937,1158,9097.74789143328
Putnam,SR024,0,1,13.37,16.43,3.06,2023,7536,23060.16,10,65,90,3,7,71SR024001,19,71000019,3.176,7.937,1159,16136.262117672
Putnam,SR024,0,1,16.43,18.11,1.68,2023,7245,12171.6,10,65,90,3,7,71SR024001,25,71000025,3.176,7.937,1160,8872.57763676062
Cheatham,I0024,0,2,0,2.65,2.65,2023,71429,189286.85,8,56,83,3,14,11I0024002,52,11000052,2.76,9.25,1161,14065.5074115081
Cheatham,I0024,0,2,2.65,3.63,0.98,2023,70304,68897.92,3,69,81,3,16,11I0024002,79 A,79,3.36,11.149,1162,5201.58391948783
Shelby,05345,0,1,0,2.902,2.902,2023,9852,28590.504,10,56,91,4,5,7905345001,906,79000906,6.297,4.782,1163,15500.9306760127
Williamson,04739,0,1,0,1.2,1.2,2023,16369,19642.8,8,50,92,3,5,9404739001,164,94000164,2.123,6.515,1164,6277.68228072405
Shelby,05436,0,1,0,2.1,2.1,2023,1975,4147.5,13,67,97,2,1,7905436001,402,79000402,2.982,1.205,1165,11008.2754516756
Dickson,SR048,0,1,0.23,3.869,3.639,2023,2778,10109.142,9,65,95,3,2,22SR048001,82,22000082,2.476,1.484,1166,19196.3181875591
Dickson,SR048,0,1,3.869,7.39,3.521,2023,2850,10034.85,10,65,95,3,2,22SR048001,95,22000095,1.064,1.418,1167,18610.4098194824
Dickson,SR048,0,1,8.59,9.58,0.99,2023,4142,4100.58,10,64,97,2,1,22SR048001,121,22000121,2.123,0.236,1168,5233.69476500487
Dickson,SR048,0,1,10.16,13.195,3.035,2023,10964,33275.74,9,65,93,3,4,22SR048001,56,22000056,3.263,4.887,1169,15910.6072656882
Dickson,SR048,0,1,13.195,17.59,4.395,2023,9236,40592.22,10,63,94,3,3,22SR048001,32,22000032,3.922,2.537,1170,23240.9485110775
Dickson,SR048,0,1,17.59,21.74,4.15,2023,6496,26958.4,10,66,94,3,3,22SR048001,28,22000028,2.946,3.293,1171,21887.1678227224
Dickson,SR048,0,1,21.74,27.76,6.02,2023,4729,28468.58,10,60,93,3,4,22SR048001,14,22000014,1.505,2.151,1172,31781.4088510709
Monroe,01198,0,1,0,0.955,0.955,2023,577,551.035,12,67,96,3,1,6201198001,30 @,54000030,5.882,1.176,1173,5037.27022096385
Monroe,01198,0,1,0.955,4.55,3.595,2023,1163,4180.985,10,65,97,2,1,6201198001,95,62000095,0.8,0,1174,18991.107309838
Gibson,SR043,0,1,0.79,6.88,6.09,2023,13384,81508.56,10,65,88,4,8,27SR043001,224,27000224,3.961,6.188,1175,32144.7333495023
Dickson,00967,0,1,8.18,12.46,4.28,2023,1499,6415.72,12,65,97,2,1,2200967001,9,22000009,2.624,1.065,1176,22677.0472354143
Washington,01369,0,1,0,2.2,2.2,2023,5150,11330,12,65,96,3,1,9001369001,107,90000107,2.766,1.773,1177,11619.0354507814
Washington,02634,0,1,0,4.64,4.64,2023,2343,10871.52,9,65,96,3,1,9002634001,144,90000144,2.766,1.773,1178,24359.1993829839
Washington,03956,0,1,0,1.27,1.27,2023,11054,14038.58,10,65,97,2,1,9003956001,24,90000024,2.766,1.773,1179,6639.9909750785
Washington,03959,0,1,0,2.1,2.1,2023,3066,6438.6,9,65,97,2,1,9003959001,149,90000149,2.55,2.486,1180,10954.0348040404
Washington,03963,0,1,0,0.79,0.79,2023,2006,1584.74,10,65,98,1,1,9003963001,152,90000152,2.55,2.486,1181,4199.49600834578
Washington,03964,0,1,0,1.72,1.72,2023,1705,2932.6,10,65,95,3,2,9003964001,234,90000234,2.766,1.773,1182,9091.09816517081
Washington,03964,0,1,1.72,3.973,2.253,2023,8557,19278.921,9,65,97,2,1,9003964001,253,90000253,2.55,2.486,1183,11910.5407464686
Washington,03964,0,1,3.973,6.49,2.517,2023,1355,3410.535,9,65,98,1,1,9003964001,219,90000219,2.55,2.486,1184,13295.1288319434
Washington,05548,0,1,0,1.6,1.6,2023,8508,13612.8,12,65,97,2,1,9005548001,257,90000257,2.55,2.486,1185,8397.72339722597
Washington,04808,0,1,0.19,1.4,1.21,2023,4009,4850.89,15,73,98,1,1,9004808001,160,90000160,2.55,2.486,1186,6234.69455201575
Washington,04803,0,1,0,1.45,1.45,2023,2662,3859.9,11,65,97,2,1,9004803001,156,90000156,2.55,2.486,1187,7622.03174789434
Gibson,SR043,0,1,10.49,13.9,3.41,2023,8670,29564.7,9,65,91,4,5,27SR043001,70,27000070,6.297,4.782,1188,18078.9914599832
Gibson,SR043,0,1,13.9,18.22,4.32,2023,6190,26740.8,9,65,88,4,8,27SR043001,173,27000173,3.961,6.188,1189,22806.7130422075
Gibson,SR043,0,1,18.22,21.15,2.93,2023,5178,15171.54,9,63,88,4,8,27SR043001,232,27000232,3.961,6.188,1190,15453.067668589
Gibson,SR043,0,1,21.15,22.54,1.39,2023,5702,7925.78,9,58,93,2,5,27SR043001,233,27000233,1.44,3.498,1191,7376.11249408488
Shelby,05100,0,1,0,2.41,2.41,2023,3861,9305.01,8,65,97,2,1,7905100001,715,79000715,2.982,1.205,1192,12742.7221002571
Trousdale,02088,0,1,1.51,2.56,1.05,2023,911,956.55,10,65,96,3,1,8502088001,43,85000043,2.624,1.065,1193,5570.84425502541
Houston,01791,0,1,0,3.462,3.462,2023,48,166.176,15,65,98,2,0,4201791001,42,42000042,2.624,1.065,1194,17943.6860355056
Shelby,05104,0,1,0,1.13,1.13,2023,736,831.68,10,65,98,1,1,7905104001,718,79000718,2.982,1.205,1195,6032.94640302128
Shelby,05102,0,1,0,1.81,1.81,2023,2115,3828.15,10,65,98,1,1,7905102001,662,79000662,2.982,1.205,1196,9576.07594819432
Shelby,05105,0,1,0,1.26,1.26,2023,1422,1791.72,9,65,98,1,1,7905105001,716,79000716,2.982,1.205,1197,6650.0648333786
Knox,03789,0,1,0,1.221,1.221,2023,8580,10476.18,8,65,97,2,1,4703789001,319,47000319,2.55,2.486,1198,6448.65662235308
Knox,03789,0,1,1.71,3.09,1.38,2023,3178,4385.64,9,65,97,2,1,4703789001,313,47000313,1.756,0.783,1199,7275.52972239165
Knox,04446,0,1,0,1.44,1.44,2023,6979,10049.76,9,65,97,2,1,4704446001,42,47000042,2.55,2.486,1200,7624.69022267208
Shelby,05208,0,1,0,1.74,1.74,2023,2606,4534.44,8,65,98,1,1,7905208001,603,79000603,2.982,1.205,1201,9154.13317926513
Loudon,02345,0,1,0,2.42,2.42,2023,579,1401.18,10,65,96,3,1,5302345001,84,53000084,2.624,1.065,1202,12791.709569977
Loudon,02341,0,1,0,3.37,3.37,2023,505,1701.85,10,65,96,3,1,5302341001,134,53000134,2.624,1.065,1203,17899.2045626048
Loudon,02356,0,1,0,3.34,3.34,2023,569,1900.46,10,61,99,1,0,5302356001,24,53000024,0,0,1204,17606.0976164637
Wayne,SR228,0,1,5.026,11.1,6.074,2023,402,2441.748,9,63,99,1,0,91SR228001,8,91000008,5.405,0,1205,32097.7712728874
Jackson,02244,0,1,1.86,8.97,7.11,2023,92,654.12,24,65,97,2,1,4402244001,34,44000034,2.624,1.065,1206,37632.5208759459
Hamilton,03617,0,1,0,0.927,0.927,2023,986,914.022,10,54,100,0,0,3303617001,496,33000496,0,0,1207,4964.28477833519
Hamilton,03617,0,1,0.927,2.76,1.833,2023,420,769.86,10,65,98,1,1,3303617001,330,33000330,3.108,2.331,1208,9580.58741653149
Coffee,02118,0,1,0,1.72,1.72,2023,507,872.04,9,65,96,3,1,1602118001,36,16000036,2.624,1.065,1209,9107.326537035
Coffee,02120,0,1,0,4.12,4.12,2023,570,2348.4,11,65,97,2,1,1602120001,141,16000141,2.624,1.065,1210,21836.8769251821
Hamilton,04019,0,1,0,1.93,1.93,2023,545,1051.85,9,65,98,1,1,3304019001,285,33000285,3.108,2.331,1211,10191.1155241229
Coffee,02124,0,1,0,3.97,3.97,2023,273,1083.81,9,65,96,3,1,1602124001,20,16000020,2.624,1.065,1212,21009.8900702127
Coffee,02129,0,1,0,5.791,5.791,2023,241,1395.631,10,65,97,2,1,1602129001,43,16000043,2.624,1.065,1213,30593.7407488325
Coffee,02129,0,1,5.791,9.37,3.579,2023,1060,3793.74,11,65,96,3,1,1602129001,26,16000026,2.624,1.065,1214,18972.8883827772
Trousdale,01074,0,1,0,3.093,3.093,2023,742,2295.006,9,59,97,2,1,8501074001,6,85000006,1.316,0,1215,16301.6033342193
Trousdale,02039,0,1,0,2.05,2.05,2023,119,243.95,14,65,96,3,1,8502039001,46,85000046,2.624,1.065,1216,10815.888066707
Trousdale,02089,0,1,2.23,3.41,1.18,2023,262,309.16,10,65,96,3,1,8502089001,29,85000029,2.624,1.065,1217,6197.98693776183
Trousdale,02086,0,1,0,1.71,1.71,2023,128,218.88,13,65,96,2,2,8502086001,38,85000038,2.624,1.065,1218,9064.86525272688
