County,Route,Special Case,County Sequence,Beginning Log Mile,Ending Log Mile,Log Mile Length,Year of Traffic,Annual Average Daily Traffic,Vehicle Miles Traveled,Design Hourly Volume Percent,Directional Distribution,Vehicle - Passenger Pickups,Vehicle - Single Unit Trucks,Vehicle - Multiple Unit Trucks,ID Number,Station Number,TN-TIMES ID,% Peak Single Unit,% Peak Multi Unit,OBJECTID,Shape__Length
Shelby,02866,0,1,0.17,1.14,0.97,2023,10011,9710.67,9,65,95,3,2,7902866001,462,79000462,3.695,2.213,174,5083.3249907612
Shelby,04186,0,1,0,3.07,3.07,2023,3886,11930.02,10,56,95,3,2,7904186001,397,79000397,3.695,2.213,175,16214.0253077586
Shelby,05096,0,1,0,0.74,0.74,2023,1436,1062.64,11,65,98,1,1,7905096001,659,79000659,2.982,1.205,176,3879.54797884566
Henry,SR069,0,1,14.444,20.95,6.506,2023,2041,13278.746,10,65,95,2,3,40SR069001,35,40000035,2.849,3.585,177,34254.846338186
Henry,SR069,0,1,20.95,23.16,2.21,2023,1335,2950.35,11,65,95,2,3,40SR069001,132,40000132,2.849,3.585,178,11591.5501085576
Shelby,SR385,0,2,16.58,16.845,0.265,2021,,,,,,,,79SR385002,PROP,,,,179,1418.11114714974
Shelby,05206,0,1,0,1.6,1.6,2023,3362,5379.2,9,65,98,1,1,7905206001,604,79000604,2.982,1.205,180,8397.10201078077
Shelby,05073,0,1,0,1.01,1.01,2023,4628,4674.28,10,65,97,2,1,7905073001,816,79000816,2.982,1.205,181,5348.77179537344
Shelby,05074,0,1,0,1,1,2023,5043,5043,10,65,98,1,1,7905074001,817,79000817,2.982,1.205,182,5275.89353615832
Rutherford,02028,0,1,0,2.2,2.2,2023,694,1526.8,15,65,97,2,1,7502028001,306,75000306,1.833,1.113,183,11652.8584550634
Lawrence,01834,0,1,0,2.36,2.36,2023,162,382.32,10,65,97,2,1,5001834001,66,50000066,2.624,1.065,184,12498.5277715759
Lawrence,01836,0,1,0,2.34,2.34,2023,792,1853.28,11,55,97,2,1,5001836001,35,50000035,4.706,0,185,12363.6813954088
Lawrence,01836,0,1,2.34,4.06,1.72,2023,248,426.56,12,65,95,3,2,5001836001,101,50000101,2.476,1.484,186,9086.5671963034
Lawrence,01836,0,1,4.06,5.92,1.86,2023,165,306.9,13,65,97,2,1,5001836001,132 @,28000132,2.624,1.065,187,9807.62901280979
Tipton,00922,0,1,0,2.02,2.02,2023,4307,8700.14,10,65,100,0,0,8400922001,33,84000033,0,0,188,10629.7389291538
Greene,02527,0,1,0,6.32,6.32,2023,616,3893.12,11,65,98,2,0,3002527001,197,30000197,1.756,0.783,189,33488.9229773449
Lawrence,01838,0,1,0,3.612,3.612,2023,319,1152.228,9,65,96,3,1,5001838001,41 @,51000041,2.624,1.065,190,19098.7342916339
Lawrence,01838,0,1,3.612,7.83,4.218,2023,943,3977.574,10,65,97,2,1,5001838001,2,50000002,2.624,1.065,191,22294.2590927239
Coffee,02125,0,1,0.643,2.25,1.607,2023,521,837.247,8,65,97,2,1,1602125001,77,16000077,2.624,1.065,192,8548.1973292474
Blount,SR334,0,1,0,1.86,1.86,2023,8107,15079.02,10,65,95,3,2,05SR334001,214,05000214,2.766,1.773,193,9818.75801170894
Tipton,0A228,0,1,0,5.61,5.61,2023,1624,9110.64,17,65,97,2,1,840A228001,32,84000032,2.624,1.065,194,29597.7366632519
Unicoi,SR036,0,1,0,5,5,2023,443,2215,12,65,96,3,1,86SR036001,24,86000024,3.016,0.864,195,26440.9165048443
Unicoi,SR036,0,1,5,6.43,1.43,2023,644,920.92,11,57,96,3,1,86SR036001,21,86000021,4.286,2.857,196,7558.93853365406
Unicoi,SR081,0,1,0,2.25,2.25,2023,4947,11130.75,9,65,95,3,2,86SR081001,37,86000037,2.766,1.773,197,11824.1167870905
Lawrence,01832,0,1,0,4.72,4.72,2023,74,349.28,21,65,96,3,1,5001832001,58,50000058,2.624,1.065,198,24852.6873479184
Rutherford,02011,0,1,0,3.43,3.43,2023,2393,8207.99,15,65,96,3,1,7502011001,69,75000069,2.624,1.065,199,18128.1964209427
Rutherford,02011,0,1,3.43,5.03,1.6,2023,5504,8806.4,12,56,97,2,1,7502011001,66,75000066,2.607,0.46,200,8423.41248100046
Coffee,01408,0,1,0,2.72,2.72,2023,558,1517.76,12,65,96,3,1,1601408001,75,16000075,2.624,1.065,201,14424.0611622819
Lincoln,01028,0,1,0,0.29,0.29,2023,271,78.59,12,65,96,3,1,5201028001,33 @,64000033,2.624,1.065,202,1529.89739178209
Marion,SR377,0,1,0,1.19,1.19,2023,1404,1670.76,9,64,72,18,10,58SR377001,56,58000056,21.094,10.156,203,6290.3301013469
Coffee,02010,0,1,0.38,2.97,2.59,2023,160,414.4,11,65,96,3,1,1602010001,24,16000024,2.624,1.065,204,13751.4754358295
Williamson,SR100,0,1,6.63,9.054,2.424,2023,11723,28416.552,11,83,95,3,2,94SR100001,8,94000008,2.64,1.68,205,12763.7621176063
Williamson,SR100,0,1,9.054,11.26,2.206,2023,8748,19298.088,11,65,88,3,9,94SR100001,266 @,19000266,2.595,5.33,206,11575.5288081532
White,02216,0,1,3.51,6.23,2.72,2023,1832,4983.04,11,51,95,2,3,9302216001,3,93000003,1.036,3.109,207,14372.1863798768
Hamilton,05792,0,1,0,0.074,0.074,2023,2088,154.512,11,65,98,1,1,3305792001,556,33000556,2.992,3.767,208,385.501527815978
Polk,SR314,0,1,4.79,6.08,1.29,2023,1538,1984.02,10,65,97,2,1,70SR314001,25,70000025,1.974,3.289,209,6845.10904747262
Anderson,02460,0,1,0,1.25,1.25,2023,132,165,13,65,96,2,2,0102460001,123,01000123,2.624,1.065,210,6694.69642031374
White,02216,0,1,0,3.51,3.51,2023,397,1393.47,12,65,98,1,1,9302216001,69,93000069,1.166,0.62,211,18513.0535097474
Sullivan,04210,0,1,0,1.17,1.17,2023,7341,8588.97,10,65,98,1,1,8204210001,233,82000233,2.55,2.486,212,6186.34009430697
Washington,01359,0,1,0.45,4,3.55,2023,3166,11239.3,10,65,97,2,1,9001359001,59,90000059,1.756,0.783,213,18721.6989193291
Washington,01359,0,1,4,5.68,1.68,2023,541,908.88,10,65,97,2,1,9001359001,64,90000064,2.624,1.065,214,8887.28663883323
Washington,02642,0,1,1.47,4.44,2.97,2023,4187,12435.39,11,65,97,2,1,9002642001,141,90000141,2.55,2.486,215,15672.5726690481
Van Buren,02140,0,1,0,1.369,1.369,2023,287,392.903,11,56,98,2,0,8802140001,19,88000019,3.125,0,216,7160.8266666491
Van Buren,02140,0,1,10.25,11.68,1.43,2023,341,487.63,11,65,97,2,1,8802140001,3,88000003,2.624,1.065,217,7684.59992262064
Bledsoe,SR028,0,1,0,4.048,4.048,2023,5707,23101.936,10,60,93,2,5,04SR028001,8 @,77000008,1.852,3.333,218,21365.7924669247
Bledsoe,SR028,0,1,4.048,5.8,1.752,2023,4361,7640.472,9,65,91,3,6,04SR028001,37,04000037,2.919,6.217,219,9277.75386181797
