State,County,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle GVWR Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
"TN","Shelby County","12/1/2022","TESLA","MODEL S","2018","BEV","1","Light-Duty (Class 1-2A)",5,16,"DMV Snapshot (12/31/2022)",False
"TN","Shelby County","6/1/2023","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",24,18,"DMV Snapshot (6/30/2023)",False
"TN","Shelby County","12/1/2022","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",26,16,"DMV Snapshot (12/31/2022)",False
"TN","Shelby County","9/1/2023","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",23,19,"DMV Snapshot (9/30/2023)",False
"TN","Shelby County","9/1/2024","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",24,23,"DMV Snapshot (9/30/2024)",True
"TN","Shelby County","9/1/2022","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",17,15,"DMV Snapshot (9/30/2022)",False
"TN","Shelby County","3/1/2023","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",22,17,"DMV Snapshot (3/31/2023)",False
"TN","Shelby County","6/1/2024","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",25,22,"DMV Snapshot (6/30/2024)",False
"TN","Shelby County","3/1/2024","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",23,21,"DMV Snapshot (3/31/2024)",False
"TN","Shelby County","12/1/2023","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",24,20,"DMV Snapshot (12/31/2023)",False
"TN","Shelby County","6/1/2022","TESLA","MODEL S","2022","BEV","1","Light-Duty (Class 1-2A)",9,14,"DMV Snpashot (6/30/2022)",False
"TN","Shelby County","3/1/2019","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",8,1,"DMV Snpashot (3/31/2019)",False
"TN","Shelby County","9/1/2021","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",7,11,"DMV Snpashot (9/30/2021)",False
"TN","Shelby County","9/1/2020","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",5,7,"DMV Snpashot (9/30/2020)",False
"TN","Shelby County","6/1/2023","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",8,18,"DMV Snapshot (6/30/2023)",False
"TN","Shelby County","9/1/2024","TESLA","MODEL S","2016","BEV","1","Light-Duty (Class 1-2A)",8,23,"DMV Snapshot (9/30/2024)",True
